,0
1854.6668342188514,2055
1854.9442787329851,2150
1855.2168981728155,2009
1855.484764275172,2002
1855.747948164404,2040
1856.0065203393747,2055
1856.260550661369,1919
1856.5101083428892,2031
1856.7552619373084,2076
1856.996079329354,2126
1857.232627726394,2078
1857.464973650501,2145
1857.693182931264,2137
1857.9173206993241,2144
1858.1374513806081,2120
1858.3536386912328,2147
1858.56594563306,2184
1858.7744344898688,2175
1858.9791668241342,2068
1859.1802034743737,2073
1859.377604553053,2053
1859.571429445019,2136
1859.7617368064411,2161
1859.9485845642403,2144
1860.1320299159847,2172
1860.3121293302308,2137
1860.4889385472907,2080
1860.6625125804062,2130
1860.83290571731,2106
1861.0001715221595,2174
1861.1643628378176,2094
1861.3255317884737,2200
1861.4837297825784,2179
1861.6390075160814,2056
1861.7914149759565,2158
1861.941001443995,2190
1862.0878155008563,2120
1862.2319050303586,2159
1862.373317223999,2111
1862.512098585686,2151
1862.648294936675,2211
1862.7819514206892,2106
1862.9131125092208,2218
1863.0418220069937,2199
1863.1681230575832,2182
1863.2920581491744,2172
1863.4136691204558,2089
1863.532997166634,2210
1863.6500828455605,2236
1863.764966083962,2173
1863.8776861837648,2233
1863.988281828505,2245
1864.0967910898146,2193
1864.203251433979,2119
1864.3076997285548,2193
1864.4101722490411,2185
1864.510704685601,2190
1864.6093321498206,2262
1864.7060891815054,2263
1864.8010097555016,2273
1864.894127288542,2223
1864.9854746461087,2114
1865.0750841493063,2231
1865.1629875817407,2130
1865.2492161964024,2140
1865.333800722542,2168
1865.4167713725442,2204
1865.4981578487846,2216
1865.5779893504737,2219
1865.6562945804822,2228
1865.733101752141,2206
1865.8084385960183,2203
1865.8823323666638,2236
1865.954809849323,2150
1866.025897366615,2248
1866.095620785174,2191
1866.1640055222479,2130
1866.231076552257,2207
1866.2968584133064,2184
1866.3613752136498,2181
1866.4246506381091,2164
1866.4867079544383,2242
1866.5475700196375,2136
1866.6072592862129,2167
1866.6657978083806,2104
1866.7232072482157,2226
1866.7795088817406,2257
1866.8347236049567,2244
1866.888871939815,2215
1866.941974040126,2188
1866.9940496974086,2211
1867.0451183466744,2236
1867.0951990721508,2229
1867.14431061294,2199
1867.192471368613,2298
1867.2396994047394,2137
1867.2860124583517,2286
1867.3314279433437,2205
1867.3759629558056,2173
1867.41963427929,2200
1867.462458390014,2165
1867.504451461995,2259
1867.5456293721186,2189
