Bin_Center,Count
1.874040663902275355e+03,7.230000000000000000e+02
1.875510079494474212e+03,7.230000000000000000e+02
1.876962695191358989e+03,7.590000000000000000e+02
1.878398511974487974e+03,7.290000000000000000e+02
1.879817537443610490e+03,7.580000000000000000e+02
1.881219785658667888e+03,7.710000000000000000e+02
1.882605276979607652e+03,7.580000000000000000e+02
1.883974037904305987e+03,8.050000000000000000e+02
1.885326100904889245e+03,7.830000000000000000e+02
1.886661504262733388e+03,7.620000000000000000e+02
1.887980291902417775e+03,8.150000000000000000e+02
1.889282513224891090e+03,8.360000000000000000e+02
1.890568222940114310e+03,7.910000000000000000e+02
1.891837480899419461e+03,8.230000000000000000e+02
1.893090351927827442e+03,8.280000000000000000e+02
1.894326905656553890e+03,8.600000000000000000e+02
1.895547216355917044e+03,8.800000000000000000e+02
1.896751362768865420e+03,8.350000000000000000e+02
1.897939427945319039e+03,8.380000000000000000e+02
1.899111499077521103e+03,8.680000000000000000e+02
1.900267667336575869e+03,8.600000000000000000e+02
1.901408027710350780e+03,8.740000000000000000e+02
1.902532678842900395e+03,8.400000000000000000e+02
1.903641722875567666e+03,8.960000000000000000e+02
1.904735265289908057e+03,9.260000000000000000e+02
1.905813414752567951e+03,9.130000000000000000e+02
1.906876282962245114e+03,9.840000000000000000e+02
1.907923984498848768e+03,8.750000000000000000e+02
1.908956636674966376e+03,9.160000000000000000e+02
1.909974359389736719e+03,8.830000000000000000e+02
1.910977274985221356e+03,9.100000000000000000e+02
1.911965508105357912e+03,9.690000000000000000e+02
1.912939185557570909e+03,9.780000000000000000e+02
1.913898436177105395e+03,9.600000000000000000e+02
1.914843390694148184e+03,9.410000000000000000e+02
1.915774181603784882e+03,1.008000000000000000e+03
1.916690943038843898e+03,9.580000000000000000e+02
1.917593810645661961e+03,1.003000000000000000e+03
1.918482921462808918e+03,1.010000000000000000e+03
1.919358413802794530e+03,9.900000000000000000e+02
1.920220427136782519e+03,1.062000000000000000e+03
1.921069101982322991e+03,9.990000000000000000e+02
1.921904579794116444e+03,9.920000000000000000e+02
1.922727002857812749e+03,1.002000000000000000e+03
1.923536514186845125e+03,1.021000000000000000e+03
1.924333257422293400e+03,1.015000000000000000e+03
1.925117376735770904e+03,1.045000000000000000e+03
1.925889016735317000e+03,9.930000000000000000e+02
1.926648322374281634e+03,1.054000000000000000e+03
1.927395438863179606e+03,1.031000000000000000e+03
1.928130511584489795e+03,1.041000000000000000e+03
1.928853686010374986e+03,1.015000000000000000e+03
1.929565107623287076e+03,1.038000000000000000e+03
1.930264921839427871e+03,1.098000000000000000e+03
1.930953273935028392e+03,1.152000000000000000e+03
