Bin_Center,Count
1.845937472818765400e+03,1.076000000000000000e+03
1.846360236428914504e+03,1.126000000000000000e+03
1.846776243052549034e+03,1.151000000000000000e+03
1.847185572238623536e+03,1.144000000000000000e+03
1.847588303630298242e+03,1.137000000000000000e+03
1.847984516919862926e+03,1.114000000000000000e+03
1.848374291805244411e+03,1.177000000000000000e+03
1.848757707948076359e+03,1.128000000000000000e+03
1.849134844933313843e+03,1.100000000000000000e+03
1.849505782230371778e+03,1.132000000000000000e+03
1.849870599155763557e+03,1.148000000000000000e+03
1.850229374837218529e+03,1.187000000000000000e+03
1.850582188179253535e+03,1.189000000000000000e+03
1.850929117830172117e+03,1.169000000000000000e+03
1.851270242150467539e+03,1.204000000000000000e+03
1.851605639182603682e+03,1.153000000000000000e+03
1.851935386622143142e+03,1.240000000000000000e+03
1.852259561790197949e+03,1.141000000000000000e+03
1.852578241607174505e+03,1.231000000000000000e+03
1.852891502567782481e+03,1.186000000000000000e+03
1.853199420717279963e+03,1.206000000000000000e+03
1.853502071628927752e+03,1.254000000000000000e+03
1.853799530382617377e+03,1.179000000000000000e+03
1.854091871544652349e+03,1.245000000000000000e+03
1.854379169148643541e+03,1.185000000000000000e+03
1.854661496677499144e+03,1.177000000000000000e+03
1.854938927046469416e+03,1.241000000000000000e+03
1.855211532587225520e+03,1.225000000000000000e+03
1.855479385032938126e+03,1.200000000000000000e+03
1.855742555504329175e+03,1.206000000000000000e+03
1.856001114496666105e+03,1.286000000000000000e+03
1.856255131867670571e+03,1.308000000000000000e+03
1.856504676826315517e+03,1.239000000000000000e+03
1.856749817922477177e+03,1.234000000000000000e+03
1.856990623037420846e+03,1.258000000000000000e+03
1.857227159375086785e+03,1.239000000000000000e+03
1.857459493454154881e+03,1.264000000000000000e+03
1.857687691100856682e+03,1.237000000000000000e+03
1.857911817442511165e+03,1.176000000000000000e+03
1.858131936901759900e+03,1.263000000000000000e+03
1.858348113191470020e+03,1.232000000000000000e+03
1.858560409310288833e+03,1.251000000000000000e+03
1.858768887538820309e+03,1.365000000000000000e+03
1.858973609436398647e+03,1.277000000000000000e+03
1.859174635838439144e+03,1.309000000000000000e+03
1.859372026854341584e+03,1.260000000000000000e+03
1.859565841865923858e+03,1.319000000000000000e+03
1.859756139526363540e+03,1.256000000000000000e+03
1.859942977759627411e+03,1.281000000000000000e+03
1.860126413760366859e+03,1.348000000000000000e+03
1.860306503994257810e+03,1.251000000000000000e+03
1.860483304198769474e+03,1.273000000000000000e+03
1.860656869384338279e+03,1.272000000000000000e+03
1.860827253835928104e+03,1.293000000000000000e+03
1.860994511114963643e+03,1.273000000000000000e+03
1.861158694061613915e+03,1.284000000000000000e+03
1.861319854797408880e+03,1.279000000000000000e+03
1.861478044728177565e+03,1.261000000000000000e+03
1.861633314547284499e+03,1.233000000000000000e+03
1.861785714239153322e+03,1.284000000000000000e+03
1.861935293083062334e+03,1.316000000000000000e+03
1.862082099657192657e+03,1.268000000000000000e+03
1.862226181842920823e+03,1.301000000000000000e+03
1.862367586829337142e+03,1.350000000000000000e+03
1.862506361117978486e+03,1.339000000000000000e+03
1.862642550527762069e+03,1.313000000000000000e+03
1.862776200200109997e+03,1.289000000000000000e+03
1.862907354604245484e+03,1.291000000000000000e+03
1.863036057542659364e+03,1.290000000000000000e+03
1.863162352156725319e+03,1.357000000000000000e+03
1.863286280932461750e+03,1.321000000000000000e+03
1.863407885706423713e+03,1.273000000000000000e+03
1.863527207671716496e+03,1.307000000000000000e+03
1.863644287384123345e+03,1.313000000000000000e+03
1.863759164768333903e+03,1.349000000000000000e+03
1.863871879124270890e+03,1.361000000000000000e+03
1.863982469133496579e+03,1.329000000000000000e+03
1.864090972865702042e+03,1.232000000000000000e+03
1.864197427785261652e+03,1.363000000000000000e+03
1.864301870757851020e+03,1.337000000000000000e+03
1.864404338057119730e+03,1.359000000000000000e+03
1.864504865371410688e+03,1.283000000000000000e+03
1.864603487810518800e+03,1.350000000000000000e+03
1.864700239912488087e+03,1.315000000000000000e+03
1.864795155650432207e+03,1.344000000000000000e+03
1.864888268439379544e+03,1.395000000000000000e+03
1.864979611143136026e+03,1.333000000000000000e+03
1.865069216081157265e+03,1.327000000000000000e+03
1.865157115035428887e+03,1.319000000000000000e+03
1.865243339257346861e+03,1.332000000000000000e+03
1.865327919474595092e+03,1.317000000000000000e+03
1.865410885898017114e+03,1.302000000000000000e+03
1.865492268228472994e+03,1.306000000000000000e+03
1.865572095663685104e+03,1.419000000000000000e+03
1.865650396905059324e+03,1.280000000000000000e+03
1.865727200164488295e+03,1.358000000000000000e+03
1.865802533171126015e+03,1.312000000000000000e+03
1.865876423178131290e+03,1.342000000000000000e+03
1.865948896969383895e+03,1.416000000000000000e+03
1.866019980866160950e+03,1.334000000000000000e+03
1.866089700733776453e+03,1.269000000000000000e+03
1.866158081988182630e+03,1.334000000000000000e+03
1.866225149602526017e+03,1.385000000000000000e+03
1.866290928113659902e+03,1.302000000000000000e+03
1.866355441628608787e+03,1.266000000000000000e+03
1.866418713830986235e+03,1.266000000000000000e+03
1.866480767987359968e+03,1.263000000000000000e+03
1.866541626953563991e+03,1.356000000000000000e+03
1.866601313180959096e+03,1.268000000000000000e+03
1.866659848722636980e+03,1.338000000000000000e+03
1.866717255239568203e+03,1.326000000000000000e+03
1.866773554006689665e+03,1.309000000000000000e+03
1.866828765918936824e+03,1.313000000000000000e+03
1.866882911497214536e+03,1.366000000000000000e+03
1.866936010894305127e+03,1.326000000000000000e+03
1.866988083900718038e+03,1.351000000000000000e+03
1.867039149950473529e+03,1.328000000000000000e+03
1.867089228126826129e+03,1.289000000000000000e+03
1.867138337167921918e+03,1.318000000000000000e+03
1.867186495472393744e+03,1.283000000000000000e+03
1.867233721104889355e+03,1.329000000000000000e+03
1.867280031801537007e+03,1.281000000000000000e+03
1.867325444975342180e+03,1.270000000000000000e+03
1.867369977721523355e+03,1.323000000000000000e+03
1.867413646822777082e+03,1.399000000000000000e+03
1.867456468754480284e+03,1.260000000000000000e+03
1.867498459689825040e+03,1.319000000000000000e+03
1.867539635504887201e+03,1.280000000000000000e+03
1.867580011783630198e+03,1.270000000000000000e+03
1.867619603822840872e+03,1.344000000000000000e+03
1.867658426637000957e+03,1.336000000000000000e+03
1.867696494963091936e+03,1.422000000000000000e+03
1.867733823265333513e+03,1.321000000000000000e+03
1.867770425739859320e+03,1.291000000000000000e+03
1.867806316319324196e+03,1.326000000000000000e+03
1.867841508677448928e+03,1.310000000000000000e+03
1.867876016233498831e+03,1.260000000000000000e+03
1.867909852156698889e+03,1.320000000000000000e+03
1.867943029370585691e+03,1.251000000000000000e+03
1.867975560557294102e+03,1.388000000000000000e+03
1.868007458161782324e+03,1.379000000000000000e+03
1.868038734395994197e+03,1.317000000000000000e+03
1.868069401242958520e+03,1.342000000000000000e+03
1.868099470460827433e+03,1.337000000000000000e+03
1.868128953586852731e+03,1.271000000000000000e+03
1.868157861941303054e+03,1.342000000000000000e+03
1.868186206631320147e+03,1.328000000000000000e+03
1.868213998554713271e+03,1.329000000000000000e+03
1.868241248403699956e+03,1.330000000000000000e+03
1.868267966668580812e+03,1.294000000000000000e+03
1.868294163641364776e+03,1.341000000000000000e+03
1.868319849419329330e+03,1.314000000000000000e+03
1.868345033908529786e+03,1.325000000000000000e+03
1.868369726827248996e+03,1.391000000000000000e+03
1.868393937709392048e+03,1.312000000000000000e+03
1.868417675907828198e+03,1.336000000000000000e+03
1.868440950597675965e+03,1.304000000000000000e+03
1.868463770779535935e+03,1.294000000000000000e+03
1.868486145282669668e+03,1.315000000000000000e+03
1.868508082768127224e+03,1.336000000000000000e+03
1.868529591731822620e+03,1.296000000000000000e+03
1.868550680507557445e+03,1.285000000000000000e+03
1.868571357269994678e+03,1.381000000000000000e+03
1.868591630037583855e+03,1.283000000000000000e+03
1.868611506675433020e+03,1.248000000000000000e+03
1.868630994898137942e+03,1.283000000000000000e+03
1.868650102272558343e+03,1.290000000000000000e+03
1.868668836220550020e+03,1.330000000000000000e+03
1.868687204021648540e+03,1.274000000000000000e+03
1.868705212815707910e+03,1.330000000000000000e+03
1.868722869605494452e+03,1.303000000000000000e+03
1.868740181259233623e+03,1.335000000000000000e+03
1.868757154513115893e+03,1.246000000000000000e+03
1.868773795973757160e+03,1.311000000000000000e+03
1.868790112120615959e+03,1.289000000000000000e+03
1.868806109308371106e+03,1.379000000000000000e+03
1.868821793769253645e+03,1.251000000000000000e+03
1.868837171615342868e+03,1.298000000000000000e+03
1.868852248840817083e+03,1.285000000000000000e+03
1.868867031324168238e+03,1.192000000000000000e+03
1.868881524830375611e+03,1.229000000000000000e+03
1.868895735013041303e+03,1.324000000000000000e+03
1.868909667416487991e+03,1.291000000000000000e+03
1.868923327477818702e+03,1.252000000000000000e+03
1.868936720528941350e+03,1.287000000000000000e+03
1.868949851798554619e+03,1.254000000000000000e+03
